Threshold,Accuracy,Precision,Recall,F1-score
0.0,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.01,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.02,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.03,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.04,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.05,0.15168539325842698,0.14849624060150377,1.0,0.25859247135842883
0.06,0.16292134831460675,0.15019011406844107,1.0,0.2611570247933884
0.07,0.18726591760299627,0.1539961013645224,1.0,0.2668918918918919
0.08,0.22846441947565543,0.15950920245398773,0.9873417721518988,0.2746478873239437
0.09,0.27153558052434457,0.16594827586206898,0.9746835443037974,0.283609576427256
0.1,0.34831460674157305,0.18052256532066507,0.9620253164556962,0.304
0.11,0.4157303370786517,0.1942257217847769,0.9367088607594937,0.3217391304347826
0.12,0.5149812734082397,0.22392638036809817,0.9240506329113924,0.36049382716049383
0.13,0.5805243445692884,0.2508591065292096,0.9240506329113924,0.3945945945945946
0.14,0.653558052434457,0.288,0.9113924050632911,0.4376899696048632
0.15,0.7097378277153558,0.3256880733944954,0.8987341772151899,0.4781144781144781
0.16,0.7640449438202247,0.372972972972973,0.8734177215189873,0.5227272727272727
0.17,0.799625468164794,0.41566265060240964,0.8734177215189873,0.563265306122449
0.18,0.8370786516853933,0.4726027397260274,0.8734177215189873,0.6133333333333333
0.19,0.848314606741573,0.4928571428571429,0.8734177215189873,0.6301369863013698
0.2,0.8576779026217228,0.5112781954887218,0.8607594936708861,0.6415094339622641
0.21,0.8745318352059925,0.5491803278688525,0.8481012658227848,0.6666666666666666
0.22,0.8801498127340824,0.5630252100840336,0.8481012658227848,0.6767676767676768
0.23,0.8838951310861424,0.5739130434782609,0.8354430379746836,0.6804123711340206
0.24,0.8857677902621723,0.5789473684210527,0.8354430379746836,0.6839378238341969
0.25,0.8895131086142322,0.5892857142857143,0.8354430379746836,0.6910994764397905
0.26,0.8895131086142322,0.5909090909090909,0.8227848101265823,0.6878306878306878
0.27,0.8913857677902621,0.5963302752293578,0.8227848101265823,0.6914893617021277
0.28,0.8951310861423221,0.6074766355140186,0.8227848101265823,0.6989247311827957
0.29,0.898876404494382,0.6190476190476191,0.8227848101265823,0.7065217391304348
0.3,0.9026217228464419,0.6310679611650486,0.8227848101265823,0.7142857142857143
0.31,0.9063670411985019,0.6435643564356436,0.8227848101265823,0.7222222222222222
0.32,0.9101123595505618,0.6597938144329897,0.810126582278481,0.7272727272727273
0.33,0.9157303370786517,0.6808510638297872,0.810126582278481,0.7398843930635838
0.34,0.9232209737827716,0.7111111111111111,0.810126582278481,0.757396449704142
0.35000000000000003,0.9288389513108615,0.735632183908046,0.810126582278481,0.7710843373493976
0.36,0.9363295880149812,0.7710843373493976,0.810126582278481,0.7901234567901234
0.37,0.9400749063670412,0.7901234567901234,0.810126582278481,0.8
0.38,0.9438202247191011,0.810126582278481,0.810126582278481,0.810126582278481
0.39,0.947565543071161,0.8311688311688312,0.810126582278481,0.8205128205128205
0.4,0.951310861423221,0.8533333333333334,0.810126582278481,0.8311688311688312
0.41000000000000003,0.9569288389513109,0.8888888888888888,0.810126582278481,0.847682119205298
0.42,0.9569288389513109,0.8888888888888888,0.810126582278481,0.847682119205298
0.43,0.9569288389513109,0.8888888888888888,0.810126582278481,0.847682119205298
0.44,0.9569288389513109,0.8888888888888888,0.810126582278481,0.847682119205298
0.45,0.9588014981273408,0.9014084507042254,0.810126582278481,0.8533333333333334
0.46,0.9606741573033708,0.9142857142857143,0.810126582278481,0.8590604026845637
0.47000000000000003,0.9606741573033708,0.9142857142857143,0.810126582278481,0.8590604026845637
0.48,0.9625468164794008,0.927536231884058,0.810126582278481,0.8648648648648649
0.49,0.9625468164794008,0.927536231884058,0.810126582278481,0.8648648648648649
0.5,0.9662921348314607,0.9552238805970149,0.810126582278481,0.8767123287671232
0.51,0.9700374531835206,0.9846153846153847,0.810126582278481,0.8888888888888888
0.52,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.53,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.54,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.55,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.56,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.5700000000000001,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.58,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.59,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.6,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.61,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.62,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.63,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.64,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.65,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.66,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.67,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.68,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.6900000000000001,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.7000000000000001,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.71,0.9700374531835206,1.0,0.7974683544303798,0.8873239436619719
0.72,0.9700374531835206,1.0,0.7974683544303798,0.8873239436619719
0.73,0.9700374531835206,1.0,0.7974683544303798,0.8873239436619719
0.74,0.9700374531835206,1.0,0.7974683544303798,0.8873239436619719
0.75,0.9681647940074907,1.0,0.7848101265822784,0.8794326241134752
0.76,0.9662921348314607,1.0,0.7721518987341772,0.8714285714285714
0.77,0.9625468164794008,1.0,0.7468354430379747,0.855072463768116
0.78,0.9606741573033708,1.0,0.7341772151898734,0.8467153284671532
0.79,0.9588014981273408,1.0,0.7215189873417721,0.8382352941176471
0.8,0.9550561797752809,1.0,0.6962025316455697,0.8208955223880597
0.81,0.9531835205992509,1.0,0.6835443037974683,0.8120300751879699
0.8200000000000001,0.951310861423221,1.0,0.6708860759493671,0.803030303030303
0.8300000000000001,0.951310861423221,1.0,0.6708860759493671,0.803030303030303
0.84,0.951310861423221,1.0,0.6708860759493671,0.803030303030303
0.85,0.951310861423221,1.0,0.6708860759493671,0.803030303030303
0.86,0.951310861423221,1.0,0.6708860759493671,0.803030303030303
0.87,0.949438202247191,1.0,0.6582278481012658,0.7938931297709924
0.88,0.947565543071161,1.0,0.6455696202531646,0.7846153846153846
0.89,0.9456928838951311,1.0,0.6329113924050633,0.7751937984496124
0.9,0.9438202247191011,1.0,0.620253164556962,0.765625
0.91,0.9419475655430711,1.0,0.6075949367088608,0.7559055118110236
0.92,0.9325842696629213,1.0,0.5443037974683544,0.7049180327868853
0.93,0.9157303370786517,1.0,0.43037974683544306,0.6017699115044248
0.9400000000000001,0.900749063670412,1.0,0.3291139240506329,0.49523809523809526
0.9500000000000001,0.897003745318352,1.0,0.3037974683544304,0.46601941747572817
0.96,0.8782771535580525,1.0,0.17721518987341772,0.3010752688172043
0.97,0.8614232209737828,1.0,0.06329113924050633,0.11904761904761904
0.98,0.8520599250936329,0.0,0.0,0.0
0.99,0.8520599250936329,0.0,0.0,0.0
1.0,0.8520599250936329,0.0,0.0,0.0
